2022-12-10 19:11:03,282|INFO   |   framework.py| 42|Enqueue D->B: GetReq(K1=?)
2022-12-10 19:11:03,283|DEBUG  |       timer.py| 41|Start timer 4415959680 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |   framework.py| 42|Enqueue D->C: GetReq(K1=?)
2022-12-10 19:11:03,283|DEBUG  |       timer.py| 41|Start timer 4415959872 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |   framework.py|112|Dequeue D->D: GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |      dynamo.py|220|D: retrieve K1=?
2022-12-10 19:11:03,283|INFO   |   framework.py| 42|Enqueue D->D: GetRsp(K1=1)
2022-12-10 19:11:03,283|INFO   |   framework.py|112|Dequeue D->B: GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |      dynamo.py|220|B: retrieve K1=?
2022-12-10 19:11:03,283|INFO   |   framework.py| 42|Enqueue B->D: GetRsp(K1=1)
2022-12-10 19:11:03,283|INFO   |   framework.py|112|Dequeue D->C: GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |      dynamo.py|220|C: retrieve K1=?
2022-12-10 19:11:03,283|INFO   |   framework.py| 42|Enqueue C->D: GetRsp(K1=1)
2022-12-10 19:11:03,283|INFO   |   framework.py|112|Dequeue D->D: GetRsp(K1=1)
2022-12-10 19:11:03,283|DEBUG  |       timer.py| 55|Cancel timer 4415959584 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,283|INFO   |   framework.py|112|Dequeue B->D: GetRsp(K1=1)
2022-12-10 19:11:03,283|DEBUG  |       timer.py| 55|Cancel timer 4415959680 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue C->D: GetRsp(K1=1)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 55|Cancel timer 4415959872 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 67|Pop timer 4415959344 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,284|DEBUG  |   framework.py| 77|Call on to rsp_timer_pop() for node a
2022-12-10 19:11:03,284|INFO   |      dynamo.py|314|Get request timed out; retrying
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue a->C: ClientGet(K1=?)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 41|Start timer 4415960256 prio 17 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py|100|Start of schedule: 1 (limit 542) pending messages, 7 (limit 28472) pending timers
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue a->C: ClientGet(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue C->D: GetReq(K1=?)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 41|Start timer 4415960448 prio 20 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue C->B: GetReq(K1=?)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 41|Start timer 4415960544 prio 20 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue C->C: GetReq(K1=?)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 41|Start timer 4415960736 prio 20 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue C->D: GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |      dynamo.py|220|D: retrieve K1=?
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue D->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue C->B: GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |      dynamo.py|220|B: retrieve K1=?
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue B->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue C->C: GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |      dynamo.py|220|C: retrieve K1=?
2022-12-10 19:11:03,284|INFO   |   framework.py| 42|Enqueue C->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue D->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 55|Cancel timer 4415960448 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue B->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 55|Cancel timer 4415960544 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,284|INFO   |   framework.py|112|Dequeue C->C: GetRsp(K1=1)
2022-12-10 19:11:03,284|DEBUG  |       timer.py| 55|Cancel timer 4415960736 for node C reason GetReq(K1=?)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 67|Pop timer 4415960256 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,285|DEBUG  |   framework.py| 77|Call on to rsp_timer_pop() for node a
2022-12-10 19:11:03,285|INFO   |      dynamo.py|314|Get request timed out; retrying
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue a->E: ClientGet(K1=?)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 41|Start timer 4415961120 prio 17 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py|100|Start of schedule: 1 (limit 535) pending messages, 7 (limit 28471) pending timers
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue a->E: ClientGet(K1=?)
2022-12-10 19:11:03,285|INFO   |      dynamo.py|168|get(K1=?) maps to [<dynamo.DynamoNode object at 0x104cd7280>, <dynamo.DynamoNode object at 0x102db3880>, <dynamo.DynamoNode object at 0x104aac880>]
2022-12-10 19:11:03,285|INFO   |   framework.py| 83|Enqueue(fwd) E->D: ClientGet(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue a->D: ClientGet(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue D->D: GetReq(K1=?)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 41|Start timer 4415961360 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue D->B: GetReq(K1=?)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 41|Start timer 4415961456 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue D->C: GetReq(K1=?)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 41|Start timer 4415961648 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue D->D: GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |      dynamo.py|220|D: retrieve K1=?
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue D->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue D->B: GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |      dynamo.py|220|B: retrieve K1=?
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue B->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue D->C: GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |      dynamo.py|220|C: retrieve K1=?
2022-12-10 19:11:03,285|INFO   |   framework.py| 42|Enqueue C->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue D->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 55|Cancel timer 4415961360 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue B->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 55|Cancel timer 4415961456 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,285|INFO   |   framework.py|112|Dequeue C->D: GetRsp(K1=1)
2022-12-10 19:11:03,285|DEBUG  |       timer.py| 55|Cancel timer 4415961648 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,286|DEBUG  |       timer.py| 67|Pop timer 4415961120 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,286|DEBUG  |   framework.py| 77|Call on to rsp_timer_pop() for node a
2022-12-10 19:11:03,286|INFO   |      dynamo.py|314|Get request timed out; retrying
2022-12-10 19:11:03,286|INFO   |   framework.py| 42|Enqueue a->F: ClientGet(K1=?)
2022-12-10 19:11:03,286|DEBUG  |       timer.py| 41|Start timer 4415962032 prio 17 for node a reason ClientGet(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py|100|Start of schedule: 1 (limit 527) pending messages, 7 (limit 28470) pending timers
2022-12-10 19:11:03,286|INFO   |   framework.py|112|Dequeue a->F: ClientGet(K1=?)
2022-12-10 19:11:03,286|INFO   |      dynamo.py|168|get(K1=?) maps to [<dynamo.DynamoNode object at 0x104cd7280>, <dynamo.DynamoNode object at 0x102db3880>, <dynamo.DynamoNode object at 0x104aac880>]
2022-12-10 19:11:03,286|INFO   |   framework.py| 83|Enqueue(fwd) F->D: ClientGet(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py|112|Dequeue a->D: ClientGet(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py| 42|Enqueue D->D: GetReq(K1=?)
2022-12-10 19:11:03,286|DEBUG  |       timer.py| 41|Start timer 4415962272 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py| 42|Enqueue D->B: GetReq(K1=?)
2022-12-10 19:11:03,286|DEBUG  |       timer.py| 41|Start timer 4415962368 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py| 42|Enqueue D->C: GetReq(K1=?)
2022-12-10 19:11:03,286|DEBUG  |       timer.py| 41|Start timer 4415962560 prio 20 for node D reason GetReq(K1=?)
2022-12-10 19:11:03,286|INFO   |   framework.py|112|Dequeue D->D: GetReq(K1=?)
2022-12-10 19:11:03,286|INFO   |      dynamo.py|220|D: retrieve K1=?
2022-12-10 19:11:03,286|INFO   |   framework.py| 42|Enqueue D->D: GetRsp(K1=1)
2022-12-10 19:11:03,286|INFO   |   framework.py|112|Dequeue D->B: GetReq(K1=?)
2022-12-10 19:11:03,286|INFO   |      dynamo.py|220|B: retrieve K1=?
